Bericht:;Strom;;;;;;;;;;;;;;;;;;;;
von;01.01.2019 00:00;;;;;;;;;;;;;;;;;;;;
bis;01.01.2020 00:00;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;P1_H4_EDA;P4_H4_EDA;Z1_Bad_H4_EDA;Z1_RLT_H4_EDA;Z1_TWW_H4_EDA;Z_EV_H4_EDA;Z_H4_EDA;;;
Jahr;Monat;KW;Wo-Tag;Tag;;Uhrzeit;Stunden;Minuten;Startzeit;Endezeit;;h;h;Wh;Wh;Wh;Wh;Wh;;;
;;;;;;;;;43.466,00;43.831,00; Summe ;1.304,32;421,62;84.505,00;87.339,00;678.239,00;2.105.250,00;2.980.247,00; -     ; -     ; -     
2019;1;1;Dienstag;1;Di 01.01.19;00:00;0;1;01.01.2019 00:00;01.01.2019 00:15;;0,06;0;0;2;5;19;26;;;
2019;1;1;Dienstag;1;Di 01.01.19;00:15;0;1;01.01.2019 00:15;01.01.2019 00:30;;0,06;0;0;2;4;30;38;;;
2019;1;1;Dienstag;1;Di 01.01.19;00:30;0;1;01.01.2019 00:30;01.01.2019 00:45;;0,07;0;0;3;72;34;109;;;
2019;1;1;Dienstag;1;Di 01.01.19;00:45;0;1;01.01.2019 00:45;01.01.2019 01:00;;0,06;0;0;2;98;20;121;;;
2019;1;1;Dienstag;1;Di 01.01.19;01:00;1;1;01.01.2019 01:00;01.01.2019 01:15;;0,06;0;0;2;4;26;33;;;
2019;1;1;Dienstag;1;Di 01.01.19;01:15;1;1;01.01.2019 01:15;01.01.2019 01:30;;0,06;0;0;3;5;34;43;;;
2019;1;1;Dienstag;1;Di 01.01.19;01:30;1;1;01.01.2019 01:30;01.01.2019 01:45;;0,07;0;0;2;6;24;32;;;
2019;1;1;Dienstag;1;Di 01.01.19;01:45;1;1;01.01.2019 01:45;01.01.2019 02:00;;0,06;0;0;2;5;24;32;;;
2019;1;1;Dienstag;1;Di 01.01.19;02:00;2;1;01.01.2019 02:00;01.01.2019 02:15;;0,06;0;0;2;6;35;44;;;
2019;1;1;Dienstag;1;Di 01.01.19;02:15;2;1;01.01.2019 02:15;01.01.2019 02:30;;0,06;0;0;3;5;35;43;;;
2019;1;1;Dienstag;1;Di 01.01.19;02:30;2;1;01.01.2019 02:30;01.01.2019 02:45;;0,07;0;0;2;6;26;35;;;
2019;1;1;Dienstag;1;Di 01.01.19;02:45;2;1;01.01.2019 02:45;01.01.2019 03:00;;0,06;0;0;2;5;19;27;;;
2019;1;1;Dienstag;1;Di 01.01.19;03:00;3;1;01.01.2019 03:00;01.01.2019 03:15;;0,06;0;0;3;6;23;31;;;
2019;1;1;Dienstag;1;Di 01.01.19;03:15;3;1;01.01.2019 03:15;01.01.2019 03:30;;0,06;0;0;2;6;36;45;;;
