Bericht:;Strom;;;;;;;;;;;;;;;;;;;;
von;01.01.2020 00:00;;;;;;;;;;;;;;;;;;;;
bis;01.01.2021 00:00;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;P1_H1_EDA;P4_H1_EDA;Z1_Bad_H1_EDA;Z1_RLT_H1_EDA;Z1_TWW_H1_EDA;Z_EV_H1_EDA;Z_H1_EDA;;;
Jahr;Monat;KW;Wo-Tag;Tag;;Uhrzeit;Stunden;Minuten;Startzeit;Endezeit;;h;h;Wh;Wh;Wh;Wh;Wh;;;
;;;;;;;;;43.831,00;44.197,00; Summe ;2.170,90;2.174,12;59.172,00;27.294,00;625.472,00;2.291.025,00;3.027.651,00; -     ; -     ; -     
2020;1;1;Mittwoch;1;Mi 01.01.20;00:00;0;1;01.01.2020 00:00;01.01.2020 00:15;;0,06;0,06;0;0;5;53;59;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;00:15;0;1;01.01.2020 00:15;01.01.2020 00:30;;0,06;0,06;0;1;6;34;42;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;00:30;0;1;01.01.2020 00:30;01.01.2020 00:45;;0,07;0,07;0;1;6;64;71;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;00:45;0;1;01.01.2020 00:45;01.01.2020 01:00;;0,06;0,06;0;1;5;31;38;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;01:00;1;1;01.01.2020 01:00;01.01.2020 01:15;;0,06;0,06;0;1;6;43;50;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;01:15;1;1;01.01.2020 01:15;01.01.2020 01:30;;0,06;0,06;0;0;5;35;42;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;01:30;1;1;01.01.2020 01:30;01.01.2020 01:45;;0,07;0,07;0;1;6;39;46;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;01:45;1;1;01.01.2020 01:45;01.01.2020 02:00;;0,06;0,06;0;1;5;35;42;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;02:00;2;1;01.01.2020 02:00;01.01.2020 02:15;;0,06;0,06;0;1;6;37;44;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;02:15;2;1;01.01.2020 02:15;01.01.2020 02:30;;0,06;0,06;0;0;5;45;51;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;02:30;2;1;01.01.2020 02:30;01.01.2020 02:45;;0,07;0,07;0;1;6;28;36;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;02:45;2;1;01.01.2020 02:45;01.01.2020 03:00;;0,06;0,06;0;1;5;45;52;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;03:00;3;1;01.01.2020 03:00;01.01.2020 03:15;;0,06;0,06;0;1;6;35;41;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;03:15;3;1;01.01.2020 03:15;01.01.2020 03:30;;0,06;0,06;0;1;42;47;91;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;03:30;3;1;01.01.2020 03:30;01.01.2020 03:45;;0,07;0,07;0;0;120;39;161;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;03:45;3;1;01.01.2020 03:45;01.01.2020 04:00;;0,06;0,06;0;1;128;35;166;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;04:00;4;1;01.01.2020 04:00;01.01.2020 04:15;;0,06;0,06;0;1;108;44;153;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;04:15;4;1;01.01.2020 04:15;01.01.2020 04:30;;0,06;0,06;0;1;5;29;36;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;04:30;4;1;01.01.2020 04:30;01.01.2020 04:45;;0,07;0,07;0;1;6;47;55;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;04:45;4;1;01.01.2020 04:45;01.01.2020 05:00;;0,06;0,06;0;0;6;32;38;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;05:00;5;1;01.01.2020 05:00;01.01.2020 05:15;;0,06;0,06;0;1;5;64;72;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;05:15;5;1;01.01.2020 05:15;01.01.2020 05:30;;0,06;0,06;0;1;6;80;86;;;
