Bericht:;Strom;;;;;;;;;;;;;;;;;;;;
von;01.01.2020 00:00;;;;;;;;;;;;;;;;;;;;
bis;01.01.2021 00:00;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;P4_H8_EDA;P1_H8_EDA;Z1_Bad_H8_EDA;Z1_RLT_H8_EDA;Z1_TWW_H8_EDA;Z_EV_H8_EDA;Z_H8_EDA;Z_EA_H8_EDA;;
Jahr;Monat;KW;Wo-Tag;Tag;;Uhrzeit;Stunden;Minuten;Startzeit;Endezeit;;h;h;Wh;Wh;Wh;Wh;Wh;Wh;;
;;;;;;;;;43.831,00;44.197,00; Summe ;2.168,44;860,18;2.589,00;71.069,00;1.342.913,00;3.480.987,00;5.063.331,00; -     ; -     ; -     
2020;1;1;Mittwoch;1;Mi 01.01.20;09:00;9;1;01.01.2020 09:00;01.01.2020 09:15;;0,06;0,04;0;1;112;205;323;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;09:15;9;1;01.01.2020 09:15;01.01.2020 09:30;;0,06;0,03;0;0;129;262;399;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;09:30;9;1;01.01.2020 09:30;01.01.2020 09:45;;0,07;0,03;0;1;131;85;221;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;09:45;9;1;01.01.2020 09:45;01.01.2020 10:00;;0,06;0,03;0;1;134;93;234;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;10:00;10;1;01.01.2020 10:00;01.01.2020 10:15;;0,06;0,03;0;1;42;395;443;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;10:15;10;1;01.01.2020 10:15;01.01.2020 10:30;;0,06;0,03;0;1;7;173;185;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;10:30;10;1;01.01.2020 10:30;01.01.2020 10:45;;0,07;0,03;0;1;57;246;310;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;10:45;10;1;01.01.2020 10:45;01.01.2020 11:00;;0,06;0,03;0;1;135;80;222;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;11:00;11;1;01.01.2020 11:00;01.01.2020 11:15;;0,06;0,04;0;1;79;125;209;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;11:15;11;1;01.01.2020 11:15;01.01.2020 11:30;;0,06;0,03;0;1;74;80;161;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;11:30;11;1;01.01.2020 11:30;01.01.2020 11:45;;0,07;0,03;0;1;76;289;371;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;11:45;11;1;01.01.2020 11:45;01.01.2020 12:00;;0,06;0,03;0;0;143;455;606;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;12:00;12;1;01.01.2020 12:00;01.01.2020 12:15;;0,06;0,03;0;1;149;280;434;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;12:15;12;1;01.01.2020 12:15;01.01.2020 12:30;;0,06;0,03;0;1;152;692;853;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;12:30;12;1;01.01.2020 12:30;01.01.2020 12:45;;0,07;0,03;0;1;155;323;484;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;12:45;12;1;01.01.2020 12:45;01.01.2020 13:00;;0,06;0,03;0;1;157;359;523;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;13:00;13;1;01.01.2020 13:00;01.01.2020 13:15;;0,06;0,04;0;1;162;211;379;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;13:15;13;1;01.01.2020 13:15;01.01.2020 13:30;;0,06;0,03;0;1;43;431;481;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;13:30;13;1;01.01.2020 13:30;01.01.2020 13:45;;0,07;0,03;0;1;7;167;179;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;13:45;13;1;01.01.2020 13:45;01.01.2020 14:00;;0,06;0,03;0;1;7;101;113;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;14:00;14;1;01.01.2020 14:00;01.01.2020 14:15;;0,06;0,03;0;1;6;111;123;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;14:15;14;1;01.01.2020 14:15;01.01.2020 14:30;;0,06;0,03;0;1;7;83;95;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;14:30;14;1;01.01.2020 14:30;01.01.2020 14:45;;0,07;0,03;0;0;6;82;94;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;14:45;14;1;01.01.2020 14:45;01.01.2020 15:00;;0,06;0,03;0;1;7;76;88;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;15:00;15;1;01.01.2020 15:00;01.01.2020 15:15;;0,06;0,04;0;1;92;67;165;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;15:15;15;1;01.01.2020 15:15;01.01.2020 15:30;;0,06;0,03;0;1;147;68;223;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;15:30;15;1;01.01.2020 15:30;01.01.2020 15:45;;0,07;0,03;0;1;151;159;317;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;15:45;15;1;01.01.2020 15:45;01.01.2020 16:00;;0,06;0,03;0;1;156;47;209;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;16:00;16;1;01.01.2020 16:00;01.01.2020 16:15;;0,06;0,03;0;1;92;66;165;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;16:15;16;1;01.01.2020 16:15;01.01.2020 16:30;;0,06;0,03;0;1;7;62;73;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;16:30;16;1;01.01.2020 16:30;01.01.2020 16:45;;0,07;0,03;0;0;7;155;168;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;16:45;16;1;01.01.2020 16:45;01.01.2020 17:00;;0,06;0,03;0;1;6;98;109;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;17:00;17;1;01.01.2020 17:00;01.01.2020 17:15;;0,06;0,04;0;1;7;87;99;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;17:15;17;1;01.01.2020 17:15;01.01.2020 17:30;;0,06;0,03;0;1;6;73;85;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;17:30;17;1;01.01.2020 17:30;01.01.2020 17:45;;0,07;0,03;0;1;7;480;492;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;17:45;17;1;01.01.2020 17:45;01.01.2020 18:00;;0,06;0,03;0;1;6;800;813;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;18:00;18;1;01.01.2020 18:00;01.01.2020 18:15;;0,06;0,03;0;0;7;100;112;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;18:15;18;1;01.01.2020 18:15;01.01.2020 18:30;;0,06;0,03;0;1;6;69;81;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;18:30;18;1;01.01.2020 18:30;01.01.2020 18:45;;0,07;0,03;0;1;7;84;96;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;18:45;18;1;01.01.2020 18:45;01.01.2020 19:00;;0,06;0,03;0;1;6;145;157;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;19:00;19;1;01.01.2020 19:00;01.01.2020 19:15;;0,06;0,04;0;1;7;91;103;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;19:15;19;1;01.01.2020 19:15;01.01.2020 19:30;;0,06;0,03;0;0;81;102;190;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;19:30;19;1;01.01.2020 19:30;01.01.2020 19:45;;0,07;0,03;0;1;85;109;200;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;19:45;19;1;01.01.2020 19:45;01.01.2020 20:00;;0,06;0,03;0;1;92;74;172;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;20:00;20;1;01.01.2020 20:00;01.01.2020 20:15;;0,06;0,03;0;1;99;69;174;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;20:15;20;1;01.01.2020 20:15;01.01.2020 20:30;;0,06;0,03;0;1;104;84;194;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;20:30;20;1;01.01.2020 20:30;01.01.2020 20:45;;0,07;0,03;0;0;109;70;186;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;20:45;20;1;01.01.2020 20:45;01.01.2020 21:00;;0,06;0,03;0;1;115;180;300;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;21:00;21;1;01.01.2020 21:00;01.01.2020 21:15;;0,06;0,04;0;1;118;70;195;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;21:15;21;1;01.01.2020 21:15;01.01.2020 21:30;;0,06;0,03;0;1;123;81;210;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;21:30;21;1;01.01.2020 21:30;01.01.2020 21:45;;0,07;0,03;0;1;129;61;196;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;21:45;21;1;01.01.2020 21:45;01.01.2020 22:00;;0,06;0,03;0;0;133;61;201;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;22:00;22;1;01.01.2020 22:00;01.01.2020 22:15;;0,06;0,03;0;1;111;89;207;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;22:15;22;1;01.01.2020 22:15;01.01.2020 22:30;;0,06;0,03;0;1;6;74;86;;;
