,avg_energy,avg_fourier,max_fourier,max_energy,avg_main_data,4,Label
2087,44,51,354,80,60,6,
2088,72,85,576,194,81,7,
2089,80,153,645,194,125,3,
2090,67,123,539,165,109,4,
2091,43,44,344,165,44,0,
2092,45,62,365,99,67,3,
2093,38,37,307,57,55,2,
2094,48,119,384,145,64,5,
2095,45,87,363,145,58,1,
2096,28,23,225,48,36,1,
2097,28,34,231,52,40,7,
2098,88,294,704,323,153,4,
2099,140,540,1127,605,206,4,
2100,36,77,295,155,37,1,
2101,42,110,342,140,68,4,
2102,83,240,671,439,74,6,
2103,117,373,937,439,186,2,
2104,50,43,404,89,67,1,
2105,46,35,369,69,63,0,
2106,41,40,335,69,59,3,
2107,35,41,287,66,49,3,
2108,37,62,302,105,50,7,
2109,42,70,340,105,57,3,
2110,42,58,341,94,63,4,
2111,33,38,265,94,43,0,
2112,27,30,220,59,38,0,
2113,26,29,212,46,37,7,
2114,58,109,471,140,85,5,
2115,108,127,864,237,132,6,
2116,109,169,874,237,169,2,
2117,40,53,320,181,41,7,
2118,66,159,535,181,109,3,
2119,45,47,360,162,57,0,
2120,41,54,328,78,54,5,
2121,41,53,329,78,57,1,
2122,65,255,522,285,99,5,
2123,137,416,1098,466,214,5,
2124,26,32,215,45,39,7,
2125,26,26,210,45,35,3,
2126,26,28,210,47,35,4,
2127,26,30,215,47,38,0,
2128,26,26,210,45,35,3,
2129,26,29,213,47,36,4,
2130,27,31,216,47,38,0,
2131,26,25,211,46,35,1,
2132,26,29,213,47,36,4,
2133,26,32,215,47,38,0,
2134,26,25,210,47,34,1,
2135,26,29,212,46,36,4,
2136,26,29,209,47,36,3,
2137,25,25,205,44,34,6,
2138,26,30,211,47,38,7,
2139,27,26,216,55,35,7,
2140,110,359,882,416,173,4,
2141,95,137,766,416,113,0,
2142,77,170,623,192,134,5,
2143,54,93,432,192,50,1,
2144,40,44,322,79,58,3,
2145,27,26,216,58,36,0,
2146,26,29,210,46,37,0,
2147,26,28,212,45,37,5,
2148,25,31,207,46,36,2,
2149,26,31,208,47,37,5,
2150,25,25,204,47,33,1,
2151,25,28,207,46,35,4,
2152,26,27,210,47,37,7,
2153,26,28,208,47,35,3,
2154,25,24,205,46,34,6,
2155,26,30,209,46,36,2,
2156,26,30,210,45,37,5,
2157,25,24,205,45,34,1,
2158,25,26,205,45,34,4,
2159,26,27,209,45,37,0,
2160,25,23,202,46,33,6,
2161,25,30,207,46,36,2,
2162,26,30,208,46,37,5,
2163,25,25,204,46,33,1,
2164,25,26,206,45,35,4,
2165,30,42,246,79,43,7,
2166,44,57,352,79,65,3,
2167,37,31,301,77,46,0,
2168,45,62,365,102,69,4,
2169,42,33,339,102,55,0,
2170,58,117,471,162,83,4,
2171,61,110,493,162,83,0,
2172,37,52,302,170,47,0,
2173,76,239,609,449,42,6,
2174,137,444,1102,449,250,2,
2175,41,41,331,101,57,0,
2176,30,28,242,61,39,0,
2177,29,31,235,54,41,7,
2178,30,28,247,54,41,3,
2179,31,26,249,51,42,4,
2180,46,62,370,118,66,7,
2181,131,343,1053,454,160,7,
2182,162,363,1300,454,248,3,
2183,35,45,285,177,40,0,
2184,41,72,329,122,52,1,
2185,27,25,221,66,36,0,
2186,27,27,221,79,36,7,
2187,40,60,323,150,45,7,
2188,73,98,587,150,116,3,
2189,65,65,527,116,92,0,
2190,61,99,493,141,83,5,
2191,65,71,526,141,86,1,
2192,100,149,802,212,150,4,
2193,70,145,561,212,75,0,
2194,49,84,392,117,68,7,
2195,61,70,492,117,91,3,
2196,86,165,693,219,139,2,
2197,53,74,429,253,64,7,
2198,95,290,760,310,165,4,
2199,41,80,330,310,44,0,
2200,26,20,212,56,35,0,
2201,25,23,207,40,36,5,
2202,26,31,215,49,37,5,
2203,27,27,223,49,35,1,
2204,32,31,263,59,48,4,
2205,31,37,248,59,41,0,
2206,134,250,1074,415,163,6,
2207,176,357,1414,415,262,2,
2208,35,55,284,79,55,3,
2209,29,40,234,153,34,7,
2210,221,519,1770,609,343,5,
2211,198,379,1588,609,230,1,
2212,167,325,1336,451,256,4,
2213,182,224,1460,451,271,0,
2214,106,142,855,288,92,1,
2215,106,214,853,268,179,2,
2216,40,46,323,185,46,0,
2217,43,43,349,153,53,7,
2218,50,119,402,153,80,3,
2219,36,37,293,77,47,6,
2220,36,57,293,121,48,0,
2221,32,37,260,79,41,1,
2222,32,63,263,84,48,5,
2223,133,285,1064,432,172,7,
2224,142,382,1142,432,203,3,
2225,38,39,307,81,50,6,
2226,41,53,330,81,59,2,
2227,41,48,333,78,55,6,
2228,41,54,334,78,60,2,
2229,33,31,270,98,38,7,
2230,43,66,345,98,63,3,
2231,52,48,416,82,75,5,
2232,112,123,899,386,148,7,
2233,150,265,1200,386,225,3,
2234,144,145,1156,261,210,4,
2235,151,391,1211,487,224,4,
2236,198,604,1589,690,244,5,
2237,195,440,1567,690,259,1,
2238,121,191,969,344,165,6,
2239,104,273,836,344,149,2,
2240,69,161,558,210,95,4,
2241,80,95,645,210,116,0,
2242,81,99,649,156,113,5,
2243,82,146,662,195,115,4,
2244,154,377,1237,477,159,7,
2245,207,393,1657,616,264,7,
2246,171,507,1369,616,302,3,
2247,59,76,475,295,64,0,
2248,47,81,376,106,71,4,
2249,38,50,304,106,49,0,
2250,41,41,329,69,60,0,
2251,27,28,221,67,34,0,
2252,34,39,274,117,40,7,
2253,57,105,463,128,93,5,
2254,41,59,333,128,51,1,
2255,33,37,267,59,43,5,
2256,49,154,393,184,77,2,
2257,25,27,204,45,35,0,
2258,58,129,466,261,66,7,
2259,87,198,696,261,139,3,
2260,28,34,230,110,36,0,
2261,25,27,205,46,34,1,
2262,28,35,225,76,34,6,
2263,30,56,241,76,43,2,
2264,26,26,209,43,36,0,
2265,27,31,220,47,38,5,
2266,38,81,308,111,58,4,
2267,31,29,252,111,38,0,
2268,86,220,688,250,137,3,
2269,100,190,807,196,148,5,
2270,70,124,561,196,83,1,
2271,63,182,507,224,111,4,
2272,142,301,1136,393,177,6,
2273,125,314,1003,393,169,2,
2274,25,23,201,73,33,7,
2275,30,48,245,73,43,3,
2276,29,35,238,49,44,4,
2277,27,25,222,49,37,0,
2278,31,39,248,86,37,6,
2279,31,65,253,86,46,2,
2280,31,42,250,74,41,1,
2281,26,32,211,56,35,1,
2282,73,347,589,378,119,5,
2283,97,195,778,378,91,1,
2284,101,179,808,231,169,4,
2285,49,73,395,231,43,0,
2286,45,111,366,138,72,2,
2287,26,22,209,43,35,4,
2288,26,26,214,50,34,7,
2289,45,62,364,97,62,7,
2290,47,73,376,97,68,3,
2291,40,81,324,97,63,5,
2292,35,73,281,99,56,4,
2293,26,28,209,99,33,0,
2294,34,73,278,151,33,6,
2295,48,126,386,151,78,2,
2296,31,27,254,53,46,3,
2297,27,24,218,53,35,0,
2298,26,33,208,50,37,2,
2299,24,21,192,39,32,0,
2300,23,22,191,35,32,2,
2301,40,85,326,315,32,7,
2302,121,243,974,465,170,7,
2303,130,395,1042,465,217,3,
2304,131,307,1054,575,151,1,
2305,42,42,338,78,58,6,
2306,45,81,366,173,42,7,
2307,129,174,1039,250,201,5,
2308,101,161,813,250,139,1,
2309,28,28,229,86,37,0,
2310,27,26,223,79,34,7,
2311,46,65,369,90,73,5,
2312,96,396,774,710,51,6,
2313,173,632,1385,710,306,2,
2314,61,94,488,192,78,0,
2315,27,24,219,46,37,0,
2316,25,29,206,46,36,2,
2317,25,27,200,72,33,7,
2318,80,204,645,227,135,4,
2319,61,93,494,227,62,0,
2320,32,39,257,52,43,0,
2321,29,27,237,52,40,1,
2322,136,372,1090,429,201,7,
2323,131,369,1052,429,175,3,
2324,26,23,213,43,37,3,
2325,25,21,202,40,34,4,
2326,31,34,253,102,38,7,
2327,43,70,345,102,61,3,
2328,63,148,508,182,84,3,
2329,73,125,588,157,113,3,
2330,75,116,601,222,85,6,
2331,104,194,833,226,173,4,
2332,36,55,289,226,39,0,
2333,28,39,230,58,41,5,
2334,29,32,234,58,37,1,
2335,39,73,319,99,61,5,
2336,32,44,258,99,37,1,
2337,38,77,310,141,46,6,
2338,52,115,420,141,68,2,
2339,66,113,528,135,103,5,
2340,71,129,569,197,97,6,
2341,80,165,643,357,88,7,
2342,147,294,1176,357,230,3,
2343,87,294,701,332,113,2,
2344,27,28,218,46,37,5,
2345,48,143,390,173,70,4,
2346,164,344,1319,449,249,5,
2347,115,355,921,449,125,1,
2348,36,36,293,118,47,7,
2349,53,77,428,118,83,3,
2350,43,60,347,96,61,0,
2351,34,35,276,133,38,7,
2352,87,194,703,551,101,7,
2353,156,494,1250,551,284,3,
2354,62,112,499,316,50,0,
2355,34,70,276,89,53,2,
2356,26,27,214,48,35,1,
2357,29,38,239,145,33,7,
2358,47,113,383,145,79,3,
2359,28,29,230,92,37,0,
2360,27,24,219,51,36,7,
2361,94,187,759,468,89,7,
2362,179,387,1435,468,314,3,
2363,42,96,338,368,40,0,
2364,44,85,358,109,73,2,
2365,30,26,245,57,38,0,
2366,33,57,266,74,49,5,
2367,28,35,226,74,35,1,
2368,30,47,241,99,34,6,
2369,40,82,326,99,64,2,
2370,30,29,247,67,38,1,
2371,29,25,239,50,41,4,
2372,73,161,588,552,55,7,
2373,150,471,1203,552,273,3,
2374,43,60,350,140,48,0,
2375,28,28,225,53,37,1,
2376,44,56,357,121,57,1,
2377,28,28,229,50,38,3,
2378,26,22,215,44,37,3,
2379,27,21,217,42,37,4,
2380,27,24,216,43,36,4,
2381,31,33,251,74,39,6,
2382,33,56,270,74,51,2,
2383,26,27,211,47,36,7,
2384,36,46,292,89,47,6,
2385,38,62,310,89,56,2,
2386,42,89,337,112,64,5,
2387,43,49,345,112,48,1,
2388,224,439,1799,526,407,3,
2389,137,222,1097,501,123,0,
2390,251,457,2012,616,391,4,
2391,137,319,1102,616,147,0,
2392,29,29,232,48,39,0,
2393,29,30,236,53,40,7,
2394,32,29,257,55,42,7,
2395,37,33,301,55,54,3,
2396,31,34,252,55,42,0,
2397,31,38,254,152,36,7,
2398,58,110,464,152,90,3,
2399,63,71,507,114,86,5,
2400,106,604,850,636,193,3,
2401,34,46,274,157,42,7,
2402,65,130,524,157,109,3,
2403,49,50,396,130,56,0,
2404,44,43,358,83,66,3,
2405,33,32,265,74,43,0,
2406,28,20,227,50,38,0,
2407,54,171,437,321,47,6,
2408,166,498,1334,508,304,4,
2409,91,179,735,508,84,0,
2410,64,220,514,256,96,4,
2411,42,69,342,256,45,0,
2412,123,281,989,345,143,6,
2413,93,336,746,345,168,2,
2414,28,28,227,60,37,6,
2415,30,40,244,60,44,2,
2416,27,28,223,51,38,0,
2417,30,29,246,57,40,6,
2418,43,46,349,97,59,6,
2419,45,66,363,97,65,2,
2420,40,73,323,148,43,6,
2421,73,175,590,273,91,6,
2422,72,232,580,273,111,2,
2423,39,35,316,77,52,6,
2424,39,105,314,132,61,4,
2425,29,38,238,132,35,0,
2426,38,108,311,131,58,5,
2427,35,66,286,131,39,1,
2428,26,30,214,48,36,2,
2429,33,40,264,106,37,7,
2430,60,79,482,106,90,3,
2431,162,398,1298,455,256,4,
2432,103,246,827,455,106,0,
2433,40,75,326,135,54,7,
2434,58,84,470,135,87,3,
2435,36,40,295,95,45,1,
2436,87,182,702,321,107,1,
2437,55,75,443,137,71,1,
2438,87,262,697,297,107,5,
2439,83,213,670,297,111,1,
2440,26,25,213,46,36,3,
2441,32,40,256,164,36,7,
2442,147,280,1177,479,204,6,
2443,121,412,970,479,166,2,
2444,28,29,225,46,39,1,
2445,34,74,278,101,50,4,
2446,30,38,247,101,42,0,
2447,27,29,223,50,37,1,
2448,43,92,351,359,38,0,
2449,55,80,440,109,88,5,
2450,55,105,442,206,51,6,
2451,54,178,438,206,88,2,
2452,31,31,251,57,41,1,
2453,28,29,224,60,38,7,
2454,29,38,237,60,41,3,
2455,28,26,225,46,37,1,
2456,32,34,257,69,42,6,
2457,40,68,322,134,46,6,
2458,43,111,350,134,65,2,
2459,35,40,285,69,51,3,
2460,49,135,399,165,77,2,
2461,59,167,473,202,79,5,
2462,125,308,1006,380,208,4,
2463,145,237,1160,418,140,6,
2464,142,378,1137,418,216,2,
2465,30,26,240,55,40,7,
2466,39,39,314,69,55,5,
2467,35,40,286,69,48,1,
2468,34,39,274,65,47,5,
2469,46,102,375,129,69,5,
2470,47,67,382,129,51,1,
2471,48,77,385,108,69,2,
2472,42,61,336,92,58,5,
2473,43,41,345,92,57,1,
2474,31,31,248,54,41,0,
2475,27,23,216,46,37,7,
2476,27,28,222,69,37,7,
2477,30,43,242,69,43,3,
2478,27,23,218,47,37,7,
2479,31,27,248,59,41,7,
2480,33,35,271,59,49,3,
2481,29,26,237,52,41,4,
2482,53,78,426,174,60,7,
2483,79,150,636,174,118,3,
2484,242,557,1938,879,223,1,
2485,225,444,1805,571,352,3,
2486,38,67,310,270,41,0,
2487,41,62,329,92,58,5,
2488,45,43,360,92,58,1,
2489,70,146,562,581,69,7,
2490,260,582,2084,597,466,4,
2491,134,295,1074,597,122,0,
2492,38,32,304,78,46,1,
2493,33,38,268,60,47,3,
2494,29,37,236,60,42,3,
2495,30,30,241,55,42,7,
2496,113,227,906,386,146,1,
2497,107,485,857,525,164,4,
2498,44,141,359,525,35,0,
2499,28,33,226,50,40,4,
2500,28,26,227,52,38,7,
2501,35,35,281,109,43,7,
2502,68,136,546,190,111,4,
2503,47,49,377,190,58,0,
2504,48,91,385,261,38,7,
2505,91,235,728,261,150,3,
2506,76,92,609,153,114,4,
2507,58,45,467,153,72,0,
2508,60,156,484,194,99,3,
2509,33,34,268,94,41,0,
2510,95,286,765,319,150,4,
2511,77,151,621,319,90,0,
2512,30,27,247,62,37,1,
2513,32,38,256,103,42,7,
2514,73,142,585,193,122,4,
2515,207,502,1662,523,286,5,
2516,174,375,1392,523,216,1,
2517,46,52,374,111,55,0,
2518,55,67,446,96,78,2,
2519,58,54,468,91,85,3,
2520,56,152,453,363,72,0,
2521,32,44,260,174,38,0,
2522,35,69,280,140,38,6,
2523,40,117,321,140,63,2,
2524,28,31,226,46,39,5,
2525,29,29,237,93,37,7,
2526,38,63,306,93,57,3,
2527,34,33,278,65,47,1,
2528,30,28,246,53,40,7,
2529,48,108,384,141,72,5,
2530,56,73,449,141,73,1,
2531,41,35,328,89,51,1,
2532,152,360,1219,399,231,1,
2533,45,116,364,389,49,0,
2534,32,55,263,97,40,1,
2535,29,35,235,66,37,1,
2536,33,41,270,80,44,7,
2537,45,43,366,80,66,3,
2538,35,31,283,79,47,0,
2539,27,29,223,50,38,0,
2540,29,37,238,59,43,4,
2541,67,184,543,536,37,7,
2542,137,484,1098,536,255,3,
2543,42,45,341,110,50,0,
2544,77,95,616,226,78,7,
2545,129,164,1035,231,214,4,
2546,86,129,688,231,109,0,
2547,43,43,345,155,52,0,
2548,28,21,228,53,37,0,
2549,28,22,226,45,39,4,
2550,28,24,228,61,37,7,
2551,33,33,267,61,50,3,
2552,29,25,236,50,38,1,
2553,39,84,315,108,58,5,
2554,39,49,314,108,44,1,
2555,44,48,357,77,65,3,
2556,28,37,228,62,37,0,
2557,25,28,204,47,33,6,
2558,25,38,205,47,37,2,
2559,28,30,230,55,37,7,
2560,51,113,411,224,56,6,
2561,61,203,491,273,83,7,
2562,153,322,1226,393,250,5,
2563,98,266,788,393,100,1,
2564,41,48,331,84,63,3,
2565,30,36,245,69,41,0,
2566,51,118,409,212,58,6,
2567,61,179,490,212,88,2,
2568,251,236,2009,599,309,7,
2569,262,445,2099,599,440,3,
2570,72,116,581,411,73,0,
2571,35,39,281,158,39,7,
2572,53,120,427,158,85,3,
2573,34,42,276,85,46,0,
2574,39,44,313,72,52,4,
2575,39,40,319,72,55,0,
2576,53,156,425,188,80,5,
2577,68,109,549,188,90,1,
2578,59,145,479,174,85,5,
2579,46,87,372,174,44,1,
2580,57,179,461,205,84,2,
2581,56,160,455,198,94,3,
2582,32,30,262,72,39,0,
2583,30,39,242,55,43,2,
2584,28,23,231,55,37,6,
2585,39,43,319,113,55,7,
2586,68,140,544,272,66,6,
2587,109,233,872,272,195,2,
2588,121,419,971,478,171,5,
2589,139,294,1116,478,164,1,
2590,128,146,1028,237,184,5,
2591,131,259,1049,299,182,5,
2592,67,124,540,369,89,0,
2593,27,33,223,82,36,0,
2594,49,166,392,309,35,6,
2595,73,272,590,309,130,2,
2596,28,27,225,95,35,0,
2597,27,28,221,57,34,6,
2598,30,44,247,57,47,2,
2599,29,32,236,50,41,5,
2600,32,42,256,67,43,4,
2601,37,79,300,100,55,5,
2602,36,48,292,100,39,1,
2603,49,52,397,82,71,6,
2604,119,462,959,519,215,4,
2605,111,200,889,519,140,0,
2606,102,230,820,295,102,6,
2607,109,221,874,295,156,2,
2608,43,61,347,107,63,0,
2609,29,26,239,61,36,7,
2610,33,37,267,65,46,7,
2611,31,39,254,65,48,3,
2612,38,100,311,383,36,7,
2613,112,340,902,383,172,3,
2614,133,276,1068,305,182,5,
2615,78,261,626,305,98,1,
2616,33,48,264,69,46,1,
2617,24,21,197,42,32,6,
2618,25,27,205,46,35,4,
2619,28,34,229,52,41,5,
2620,27,29,218,52,36,1,
2621,37,65,300,93,53,5,
2622,37,43,303,93,50,1,
2623,26,22,213,48,36,0,
2624,25,29,207,46,36,5,
2625,25,24,203,46,32,1,
2626,39,101,316,122,62,5,
2627,46,62,375,122,55,1,
2628,92,193,738,232,138,2,
2629,125,141,1007,246,180,6,
2630,175,248,1407,361,234,4,
2631,177,324,1421,390,307,4,
2632,55,150,445,390,34,0,
2633,26,25,213,47,35,6,
2634,108,437,865,489,164,5,
2635,106,264,849,489,118,1,
2636,46,48,368,98,61,6,
2637,105,177,844,298,133,6,
2638,129,210,1039,298,200,2,
2639,54,62,436,202,71,0,
2640,45,54,362,160,57,0,
2641,39,50,315,77,57,5,
2642,40,35,322,77,53,1,
2643,40,57,327,82,59,4,
2644,33,33,264,82,39,0,
2645,31,29,248,62,42,7,
2646,32,33,262,62,47,3,
2647,29,29,234,51,41,0,
2648,29,31,235,50,40,5,
2649,30,31,242,52,39,7,
2650,73,196,589,389,57,6,
2651,166,388,1332,549,233,6,
2652,72,144,576,281,85,1,
2653,30,30,245,53,41,1,
2654,35,41,284,102,44,7,
2655,45,67,365,102,69,3,
2656,35,43,287,96,41,6,
2657,39,71,318,96,62,2,
2658,27,24,219,51,36,0,
2659,26,23,212,43,35,6,
2660,26,29,215,46,36,4,
2661,26,28,214,46,37,0,
2662,31,49,251,103,36,6,
2663,55,116,445,177,71,6,
2664,67,139,536,273,73,1,
2665,41,36,331,99,54,0,
2666,30,23,243,57,40,0,
2667,28,26,231,50,38,6,
2668,28,31,227,50,39,2,
2669,27,28,218,46,37,0,
2670,27,27,218,45,37,0,
2671,27,25,218,43,37,0,
2672,27,25,217,42,37,2,
2673,27,23,217,40,37,0,
2674,30,27,246,93,37,7,
2675,46,64,374,93,66,3,
2676,97,380,782,422,164,3,
2677,51,133,408,165,75,3,
2678,27,27,220,93,34,7,
2679,33,66,271,93,51,3,
2680,28,28,225,45,39,0,
2681,35,31,281,94,45,7,
2682,42,58,341,94,64,3,
2683,46,74,373,139,54,6,
2684,51,103,408,139,75,2,
2685,36,68,293,269,39,7,
2686,168,341,1344,423,267,5,
2687,110,327,886,423,121,1,
2688,30,38,242,64,44,4,
2689,29,33,238,64,38,0,
2690,28,32,231,61,37,7,
2691,37,42,301,92,49,6,
2692,57,128,458,156,89,5,
2693,55,77,442,156,69,1,
2694,62,166,502,322,53,6,
2695,115,276,924,322,169,2,
2696,148,162,1189,240,227,4,
2697,74,159,597,240,87,0,
2698,26,26,215,47,37,0,
2699,36,72,294,98,55,4,
2700,28,47,230,65,40,5,
2701,44,152,356,178,68,4,
2702,31,46,251,178,33,0,
2703,31,46,250,121,40,7,
2704,52,90,419,129,69,6,
2705,118,165,946,242,172,7,
2706,103,178,824,242,147,3,
2707,27,27,223,96,34,0,
2708,28,30,228,60,36,6,
2709,38,45,309,63,59,4,
2710,36,30,289,73,43,7,
2711,44,46,355,73,64,3,
2712,241,493,1928,584,426,4,
2713,78,151,628,584,75,0,
2714,77,119,619,226,92,6,
2715,136,205,1092,281,228,4,
2716,158,303,1267,456,189,7,
2717,158,371,1265,456,233,3,
2718,43,65,345,138,48,1,
2719,35,44,287,71,46,3,
2720,42,92,337,115,65,5,
2721,39,58,312,115,49,1,
2722,33,37,264,70,39,6,
2723,44,45,357,71,64,6,
2724,63,81,508,139,82,0,
2725,76,97,610,226,87,7,
2726,149,151,1193,253,225,4,
2727,89,192,712,253,112,0,
2728,44,49,352,81,60,5,
2729,39,55,315,81,53,1,
2730,26,24,214,51,34,7,
2731,32,32,258,51,47,3,
2732,115,396,924,430,199,5,
2733,104,210,836,430,88,1,
2734,65,142,526,171,96,3,
2735,42,46,343,74,62,3,
2736,31,45,253,118,42,7,
2737,86,260,693,478,59,6,
2738,189,463,1514,478,356,2,
2739,51,117,414,451,44,0,
2740,25,28,202,49,34,0,
2741,23,25,191,44,31,1,
2742,24,24,193,41,32,4,
2743,24,26,193,41,34,0,
2744,24,26,192,41,33,3,
2745,23,21,188,42,30,6,
2746,24,27,192,42,33,2,
2747,24,29,194,43,34,5,
2748,23,23,184,43,30,6,
2749,23,29,189,43,33,2,
2750,23,26,190,41,33,5,
2751,23,24,186,41,31,1,
2752,23,23,187,43,31,6,
2753,28,33,230,91,37,7,
2754,39,57,316,91,60,3,
2755,27,30,218,59,34,0,
2756,24,25,195,42,34,7,
2757,24,29,195,42,34,3,
2758,23,21,190,42,31,1,
2759,24,26,194,44,33,4,
2760,23,26,191,42,33,0,
2761,23,28,191,43,33,5,
2762,23,23,188,43,31,1,
2763,23,23,190,43,32,6,
2764,24,28,194,43,34,2,
2765,24,27,195,43,34,7,
2766,24,26,194,43,33,3,
2767,23,20,191,40,32,6,
2768,24,27,194,43,33,4,
2769,24,25,196,43,34,0,
2770,24,28,197,43,34,5,
2771,24,22,193,43,32,1,
2772,24,24,192,42,32,3,
2773,23,21,189,41,31,6,
2774,24,26,193,41,33,2,
2775,24,25,194,42,34,7,
2776,24,26,195,42,34,3,
2777,23,20,190,41,31,1,
2778,24,26,194,43,33,4,
2779,24,26,196,43,34,0,
2780,24,28,196,43,34,5,
2781,24,23,193,43,32,1,
2782,23,21,190,42,31,6,
2783,24,28,197,42,34,2,
2784,23,24,188,42,31,6,
2785,24,27,193,42,33,2,
2786,24,26,192,43,33,7,
2787,24,26,192,43,32,3,
2788,23,20,190,40,32,6,
2789,24,27,195,43,33,4,
2790,24,25,197,43,34,0,
2791,24,27,198,43,34,5,
2792,24,24,196,43,33,1,
2793,24,21,194,42,32,6,
2794,24,27,199,43,34,4,
2795,24,24,199,43,34,0,
2796,24,28,197,47,34,4,
2797,24,23,197,47,34,0,
2798,24,28,197,43,34,5,
2799,24,23,194,43,32,1,
2800,24,22,193,43,32,6,
2801,24,28,198,43,34,2,
2802,24,25,197,43,34,7,
2803,24,28,198,43,34,3,
2804,24,22,193,43,32,1,
2805,24,24,195,43,33,6,
2806,24,28,199,43,34,2,
2807,24,26,199,44,35,7,
2808,31,37,249,86,37,7,
2809,40,63,324,86,63,3,
2810,26,27,211,47,35,1,
2811,24,20,192,40,33,3,
2812,24,23,195,43,33,6,
2813,24,27,199,43,34,2,
2814,24,26,199,44,35,7,
2815,24,27,198,44,34,3,
2816,24,19,193,40,32,1,
2817,24,27,197,44,33,4,
2818,24,27,199,44,35,0,
2819,25,26,201,44,34,7,
2820,24,27,195,42,34,2,
2821,24,24,195,41,34,0,
2822,24,28,196,44,34,5,
2823,24,23,195,44,32,1,
2824,24,22,195,43,32,6,
2825,24,28,199,43,34,2,
2826,24,23,199,43,34,0,
2827,25,30,201,45,35,5,
2828,24,24,197,45,33,1,
2829,24,22,196,43,32,6,
2830,25,28,200,43,34,2,
2831,25,24,200,43,35,0,
2832,24,19,194,40,32,6,
2833,24,27,198,44,34,4,
2834,25,26,201,44,35,0,
2835,25,26,200,43,35,7,
2836,25,25,201,43,34,3,
2837,24,19,197,40,33,6,
2838,25,27,201,44,34,4,
2839,25,26,202,44,35,0,
2840,25,26,202,44,35,7,
2841,25,26,201,44,34,3,
2842,24,20,198,40,33,1,
2843,25,25,200,44,33,6,
2844,25,28,201,44,35,5,
2845,24,23,199,44,33,1,
2846,24,23,199,44,33,6,
2847,25,29,203,44,35,2,
2848,25,26,203,44,35,0,
2849,25,28,203,44,35,5,
2850,25,24,200,44,33,1,
2851,24,21,199,42,33,6,
2852,25,27,203,44,35,4,
2853,25,26,202,44,35,0,
2854,25,26,202,44,35,7,
2855,25,26,202,44,34,3,
2856,25,27,202,43,35,2,
2857,25,24,202,43,35,0,
2858,25,28,203,44,35,5,
2859,25,25,202,44,34,1,
2860,24,20,199,41,33,6,
2861,25,28,203,45,34,4,
2862,25,26,203,45,35,0,
2863,25,26,203,44,35,7,
2864,25,27,203,44,35,3,
2865,24,21,199,42,33,1,
2866,24,24,199,44,33,6,
2867,25,28,202,44,35,2,
2868,25,26,203,45,35,0,
2869,25,26,203,45,35,7,
2870,25,27,202,45,34,3,
2871,24,21,199,41,33,1,
2872,25,25,201,44,34,6,
2873,25,28,204,44,35,2,
2874,25,25,203,42,35,7,
2875,25,28,204,44,35,5,
2876,25,24,200,44,33,1,
2877,24,21,199,41,33,6,
2878,25,27,202,44,34,4,
2879,25,26,203,44,35,0,
2880,25,28,202,44,35,5,
2881,25,24,200,44,33,1,
2882,24,20,199,41,33,6,
2883,25,27,203,44,34,4,
2884,25,27,204,44,35,0,
2885,25,24,204,43,35,7,
2886,25,28,204,44,35,5,
2887,25,24,201,44,34,1,
2888,24,20,199,41,33,6,
2889,25,27,202,44,34,4,
2890,25,26,203,44,35,0,
2891,25,26,203,44,35,7,
2892,25,26,201,44,34,3,
2893,24,20,198,40,33,1,
2894,25,23,200,44,33,6,
2895,25,28,203,44,35,2,
2896,25,24,203,42,35,0,
2897,25,27,204,43,35,5,
2898,25,26,202,43,34,1,
2899,24,20,199,41,33,1,
2900,25,24,200,44,33,6,
2901,25,28,203,44,35,2,
2902,25,24,202,42,35,0,
2903,25,27,204,44,35,7,
2904,25,27,201,44,34,3,
2905,24,21,198,41,33,1,
2906,24,23,199,43,33,6,
2907,25,28,204,45,35,4,
2908,25,25,204,45,35,0,
2909,25,26,204,44,35,7,
2910,25,28,205,44,35,3,
2911,25,23,201,44,33,1,
2912,25,21,201,42,34,6,
2913,25,27,204,44,35,4,
2914,25,26,204,44,35,0,
2915,25,24,203,42,35,7,
2916,39,82,313,105,51,5,
2917,47,66,378,105,62,1,
2918,34,50,274,69,49,2,
2919,33,36,270,87,40,7,
2920,48,58,387,91,68,6,
2921,70,177,561,214,102,5,
2922,67,112,540,214,79,1,
2923,46,57,369,88,69,2,
2924,31,32,251,61,40,0,
2925,29,33,237,49,40,6,
2926,35,46,285,72,46,6,
2927,50,50,406,87,72,4,
2928,33,53,268,72,50,2,
2929,28,32,227,48,39,5,
2930,31,41,252,70,39,6,
2931,35,45,286,70,52,2,
2932,26,20,209,52,35,0,
2933,26,26,214,50,36,7,
2934,27,28,221,50,38,3,
2935,53,128,430,171,69,6,
2936,152,395,1223,449,244,5,
2937,96,225,772,449,86,1,
2938,96,269,772,306,165,4,
2939,140,339,1121,351,208,5,
2940,43,108,346,122,71,5,
2941,37,56,299,122,36,1,
2942,39,48,316,83,60,3,
2943,31,28,254,93,36,7,
2944,34,68,277,93,52,3,
2945,32,34,256,59,48,4,
2946,27,20,219,59,34,0,
2947,28,24,226,55,36,6,
2948,53,101,425,215,51,6,
2949,77,197,623,215,123,2,
2950,85,184,683,232,148,4,
2951,115,421,925,477,179,4,
2952,37,43,299,101,46,1,
2953,25,25,203,48,32,1,
2954,23,25,190,43,32,6,
