,0,1,2,3,4,5,6,7,8
159,29,42,43,30,38,63,31,111,0
160,38,63,31,111,53,40,30,42,1
161,53,40,30,42,36,30,50,33,0
162,36,30,50,33,30,50,41,75,0
163,30,50,41,75,55,57,65,103,1
164,55,57,65,103,69,87,98,248,1
165,69,87,98,248,64,271,65,67,2
166,64,271,65,67,48,161,59,51,2
167,48,161,59,51,36,51,38,44,1
168,44,59,225,293,45,35,49,41,2
169,45,35,49,41,32,46,37,46,0
170,32,46,37,46,41,31,47,43,0
171,41,31,47,43,31,42,40,30,0
172,31,42,40,30,46,45,35,54,0
173,46,45,35,54,249,68,58,78,2
174,249,68,58,78,103,418,198,57,2
175,103,418,198,57,74,85,187,217,2
176,74,85,187,217,233,256,264,791,2
177,233,256,264,791,366,69,161,66,2
178,366,69,161,66,41,44,53,56,2
179,41,44,53,56,99,60,57,55,1
180,44,78,481,217,54,49,54,33,2
181,54,49,54,33,243,334,391,319,2
182,243,334,391,319,60,93,40,103,2
183,60,93,40,103,104,105,135,120,2
184,104,105,135,120,107,105,104,99,2
185,107,105,104,99,80,91,136,102,2
186,80,91,136,102,86,100,83,94,2
187,86,100,83,94,96,84,94,108,2
188,96,84,94,108,110,104,86,95,2
189,110,104,86,95,111,159,103,123,2
190,111,159,103,123,106,90,93,104,2
191,106,90,93,104,82,92,97,82,2
192,109,109,158,80,85,98,116,169,2
193,85,98,116,169,101,103,103,99,2
194,101,103,103,99,84,95,100,87,2
195,84,95,100,87,84,96,65,54,2
196,84,96,65,54,39,58,85,54,1
197,39,58,85,54,61,49,33,114,1
198,61,49,33,114,31,155,40,70,2
199,31,155,40,70,46,35,50,39,1
200,46,35,50,39,64,60,56,74,0
201,64,60,56,74,49,85,132,68,1
202,49,85,132,68,70,71,88,56,2
203,70,71,88,56,46,41,34,51,0
204,43,35,40,77,146,57,41,37,2
205,146,57,41,37,54,42,33,43,1
206,54,42,33,43,56,32,124,266,1
207,56,32,124,266,210,46,38,502,2
208,210,46,38,502,158,32,37,410,2
209,158,32,37,410,90,51,36,31,2
210,90,51,36,31,42,51,48,85,0
211,42,51,48,85,65,53,48,30,1
212,65,53,48,30,55,45,459,56,1
213,55,45,459,56,58,113,77,76,2
214,58,113,77,76,69,73,63,67,1
215,69,73,63,67,47,78,493,215,2
216,46,300,236,44,278,366,64,70,2
217,278,366,64,70,89,143,383,62,2
218,89,143,383,62,58,103,162,200,2
219,58,103,162,200,246,257,212,234,2
220,246,257,212,234,209,90,36,42,2
221,209,90,36,42,51,73,50,43,1
222,51,73,50,43,34,43,54,36,0
223,34,43,54,36,32,49,49,34,0
224,32,49,49,34,65,69,43,75,0
225,65,69,43,75,68,88,194,120,1
226,68,88,194,120,46,67,46,34,2
227,46,67,46,34,56,54,49,62,0
228,165,69,77,56,57,74,67,56,1
229,57,74,67,56,62,76,60,56,1
230,62,76,60,56,69,67,57,76,1
231,69,67,57,76,60,57,70,72,1
232,60,57,70,72,55,58,77,63,1
